Recall,Precision_awning-tricycle,Precision_bicycle,Precision_bus,Precision_car,Precision_freight_car,Precision_motor,Precision_person,Precision_tricycle,Precision_truck,Precision_van
0.15916,0.33333,0.32037,1.00000,1.00000,0.86857,0.84715,0.93217,0.69710,0.97403,0.91411
0.16016,0.33333,0.31555,1.00000,1.00000,0.86857,0.84715,0.93217,0.69710,0.97403,0.91411
0.16116,0.33333,0.31446,1.00000,0.99970,0.86857,0.84632,0.93217,0.69547,0.97403,0.91411
0.16216,0.33210,0.31446,1.00000,0.99970,0.86857,0.84632,0.93217,0.69231,0.97403,0.91411
0.16316,0.33210,0.31446,1.00000,0.99970,0.86857,0.84431,0.93217,0.69231,0.97403,0.91411
0.16416,0.33210,0.31315,1.00000,0.99970,0.86857,0.84431,0.93217,0.68254,0.97403,0.91411
0.16517,0.33210,0.30970,1.00000,0.99970,0.86857,0.84431,0.93217,0.68093,0.97403,0.91411
0.16617,0.33210,0.30970,1.00000,0.99970,0.86857,0.84161,0.93217,0.68093,0.97403,0.91411
0.16717,0.33210,0.30595,1.00000,0.99970,0.86857,0.84086,0.93217,0.68093,0.97403,0.91411
0.16817,0.33210,0.29972,1.00000,0.99970,0.86857,0.84049,0.93217,0.68077,0.97403,0.91411
0.16917,0.33210,0.29822,1.00000,0.99970,0.86857,0.83959,0.93217,0.68077,0.97348,0.91411
0.17017,0.31379,0.29467,1.00000,0.99970,0.86857,0.83868,0.93217,0.67939,0.97348,0.91411
0.17117,0.30872,0.29467,1.00000,0.99970,0.86857,0.83868,0.93217,0.67803,0.97348,0.91411
0.17217,0.30872,0.29211,1.00000,0.99970,0.86857,0.83797,0.93217,0.67669,0.97348,0.91411
0.17317,0.29618,0.29129,1.00000,0.99970,0.86857,0.83547,0.93217,0.67647,0.97348,0.91411
0.17417,0.29618,0.28991,1.00000,0.99951,0.86857,0.83366,0.93217,0.67647,0.97348,0.91411
0.17518,0.29503,0.28991,1.00000,0.99951,0.86857,0.83364,0.93217,0.67647,0.97348,0.91411
0.17618,0.29503,0.28991,1.00000,0.99951,0.86857,0.83364,0.93217,0.67518,0.97348,0.91411
0.17718,0.29503,0.28951,1.00000,0.99951,0.86857,0.83364,0.93217,0.66906,0.97348,0.91411
0.17818,0.29503,0.28911,1.00000,0.99951,0.86857,0.83364,0.93217,0.66892,0.97348,0.91411
0.17918,0.28487,0.28911,1.00000,0.99951,0.86857,0.83364,0.93217,0.66892,0.97348,0.91411
0.18018,0.28487,0.28892,1.00000,0.99951,0.86857,0.83364,0.93217,0.66892,0.97348,0.91411
0.18118,0.28000,0.28641,1.00000,0.99951,0.86857,0.83364,0.93217,0.66892,0.97348,0.91411
0.18218,0.28000,0.28485,1.00000,0.99951,0.86857,0.83364,0.93217,0.66892,0.97348,0.91411
0.18318,0.28000,0.28263,1.00000,0.99951,0.86857,0.83364,0.93217,0.66892,0.97348,0.91411
0.18418,0.28000,0.27888,1.00000,0.99951,0.86857,0.83364,0.93217,0.66892,0.97348,0.91411
0.18519,0.27397,0.27888,1.00000,0.99951,0.86857,0.83349,0.93217,0.66892,0.97348,0.91411
0.18619,0.27397,0.27875,1.00000,0.99951,0.86857,0.83181,0.93217,0.66892,0.97348,0.91411
0.18719,0.27397,0.27520,1.00000,0.99951,0.86857,0.83100,0.93217,0.66892,0.97348,0.91411
0.18819,0.27371,0.27520,1.00000,0.99951,0.86857,0.83100,0.93217,0.66892,0.97348,0.91411
0.18919,0.27371,0.27447,1.00000,0.99951,0.86857,0.83100,0.93217,0.66892,0.97348,0.91411
0.19019,0.27346,0.27253,1.00000,0.99951,0.86857,0.83100,0.93217,0.66779,0.97348,0.91411
0.19119,0.27346,0.26631,1.00000,0.99951,0.86857,0.83100,0.93217,0.66667,0.97348,0.91411
0.19219,0.27105,0.26631,1.00000,0.99951,0.86857,0.83100,0.93217,0.66124,0.97348,0.91411
0.19319,0.27105,0.26631,1.00000,0.99951,0.86857,0.83100,0.93217,0.66124,0.97048,0.91411
0.19419,0.26185,0.26455,1.00000,0.99951,0.86857,0.83100,0.93217,0.66124,0.97048,0.91411
0.19520,0.26185,0.26299,1.00000,0.99951,0.86857,0.83033,0.93217,0.65595,0.97048,0.91411
0.19620,0.26185,0.26299,1.00000,0.99951,0.86857,0.83033,0.93217,0.65217,0.97048,0.91411
0.19720,0.26185,0.26240,1.00000,0.99951,0.86857,0.83033,0.93217,0.65217,0.96831,0.91411
0.19820,0.25917,0.26203,1.00000,0.99951,0.86857,0.83033,0.93217,0.65217,0.96831,0.91411
0.19920,0.25917,0.26034,1.00000,0.99951,0.86857,0.82954,0.93217,0.65217,0.96831,0.91411
