                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.1912,                0.59498,                0.97586,                 0.7845,                0.75418,                0.79983,                0.56334,                 1.1995,                0.52582,                0.98258,               0.005743,               0.005743,               0.005743
                    132,                  1.189,                0.59382,                0.97575,                0.78565,                0.75456,                0.79996,                 0.5637,                 1.1992,                0.52526,                0.98242,                0.00571,                0.00571,                0.00571
                    133,                 1.1848,                0.59353,                0.97475,                0.78736,                0.75445,                0.80022,                0.56371,                 1.1992,                 0.5248,                0.98228,               0.005677,               0.005677,               0.005677
                    134,                 1.1789,                0.58828,                0.97226,                 0.7928,                 0.7512,                0.80071,                0.56415,                 1.1995,                0.52451,                0.98216,               0.005644,               0.005644,               0.005644
                    135,                 1.1789,                0.58994,                0.97215,                0.79247,                0.75137,                0.80133,                 0.5645,                 1.1995,                0.52398,                0.98203,               0.005611,               0.005611,               0.005611
                    136,                 1.1763,                0.58819,                0.97136,                  0.797,                0.74949,                0.80149,                0.56475,                 1.1996,                0.52354,                0.98187,               0.005578,               0.005578,               0.005578
                    137,                 1.1785,                0.59027,                0.97508,                0.79746,                0.74914,                0.80226,                0.56542,                 1.1994,                  0.523,                0.98175,               0.005545,               0.005545,               0.005545
                    138,                 1.1758,                0.58623,                0.97202,                0.79846,                0.74858,                0.80261,                0.56563,                 1.1994,                0.52249,                 0.9816,               0.005512,               0.005512,               0.005512
                    139,                 1.1852,                0.59069,                0.97505,                0.79991,                0.74889,                0.80274,                0.56589,                 1.1991,                0.52227,                0.98148,               0.005479,               0.005479,               0.005479
                    140,                 1.1725,                0.58386,                0.97141,                0.79893,                0.74901,                0.80337,                0.56616,                 1.1992,                0.52178,                0.98132,               0.005446,               0.005446,               0.005446
                    141,                 1.1784,                 0.5861,                0.97351,                0.79972,                0.74951,                0.80379,                0.56658,                 1.1994,                0.52143,                0.98121,               0.005413,               0.005413,               0.005413
                    142,                 1.1745,                 0.5845,                0.96999,                0.80099,                0.74884,                0.80427,                0.56705,                 1.1991,                0.52095,                0.98109,                0.00538,                0.00538,                0.00538
                    143,                 1.1779,                0.58356,                0.97216,                0.80207,                0.74922,                0.80466,                0.56744,                 1.1988,                0.52057,                0.98096,               0.005347,               0.005347,               0.005347
                    144,                 1.1737,                0.58132,                0.97092,                0.80351,                0.74925,                 0.8049,                0.56825,                 1.1987,                0.52027,                0.98084,               0.005314,               0.005314,               0.005314
                    145,                 1.1764,                0.58419,                0.97053,                0.80737,                0.74664,                0.80519,                0.56872,                 1.1985,                0.52019,                0.98072,               0.005281,               0.005281,               0.005281
                    146,                 1.1741,                0.58085,                0.97092,                 0.8064,                0.74774,                0.80563,                0.56893,                 1.1985,                 0.5197,                0.98062,               0.005248,               0.005248,               0.005248
                    147,                 1.1754,                0.58222,                0.97049,                 0.8063,                0.74779,                0.80594,                0.56891,                 1.1984,                0.51925,                0.98053,               0.005215,               0.005215,               0.005215
                    148,                 1.1701,                0.57818,                0.97016,                0.80754,                0.74771,                0.80617,                0.56945,                 1.1984,                0.51893,                 0.9804,               0.005182,               0.005182,               0.005182
                    149,                 1.1666,                 0.5785,                0.96922,                0.80911,                0.74723,                0.80665,                0.57019,                 1.1987,                0.51855,                0.98029,               0.005149,               0.005149,               0.005149
                    150,                 1.1638,                0.57602,                0.96769,                0.81153,                0.74645,                  0.807,                0.57038,                  1.199,                0.51828,                0.98019,               0.005116,               0.005116,               0.005116
                    151,                 1.1663,                0.57717,                0.96768,                 0.8136,                0.74442,                 0.8071,                0.57061,                 1.1992,                0.51798,                0.98015,               0.005083,               0.005083,               0.005083
                    152,                 1.1661,                0.57481,                0.96906,                0.81571,                0.74349,                0.80733,                0.57053,                 1.1992,                0.51771,                0.98004,                0.00505,                0.00505,                0.00505
                    153,                 1.1638,                0.57416,                0.96675,                0.81635,                0.74314,                0.80758,                0.57094,                 1.1991,                0.51743,                0.97994,               0.005017,               0.005017,               0.005017
                    154,                 1.1712,                0.57665,                0.96842,                0.81643,                0.74422,                0.80788,                0.57126,                 1.1988,                0.51701,                0.97986,               0.004984,               0.004984,               0.004984
                    155,                 1.1658,                0.57513,                0.96896,                0.81269,                0.74641,                0.80766,                0.57139,                 1.1986,                0.51663,                0.97974,               0.004951,               0.004951,               0.004951
                    156,                 1.1691,                0.57442,                0.96853,                0.81754,                0.74449,                0.80821,                0.57179,                 1.1981,                0.51617,                 0.9796,               0.004918,               0.004918,               0.004918
                    157,                 1.1635,                0.57243,                0.96627,                0.81449,                0.74585,                0.80873,                0.57232,                 1.1982,                0.51586,                0.97939,               0.004885,               0.004885,               0.004885
                    158,                 1.1617,                0.57141,                0.96612,                0.80922,                0.75019,                0.80936,                0.57273,                 1.1986,                 0.5158,                0.97935,               0.004852,               0.004852,               0.004852
