Recall,Precision_pedestrian,Precision_people,Precision_bicycle,Precision_car,Precision_van,Precision_truck,Precision_tricycle,Precision_awning-tricycle,Precision_bus,Precision_motor
0.12813,0.95960,0.85455,0.51562,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.86939
0.12913,0.95830,0.85366,0.50453,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.86939
0.13013,0.95799,0.85223,0.50000,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.86939
0.13113,0.95799,0.84887,0.50000,0.97374,0.88994,0.87611,0.71357,0.42169,0.96923,0.86856
0.13213,0.95609,0.84769,0.50000,0.97374,0.88994,0.87395,0.71357,0.41758,0.96923,0.86418
0.13313,0.95609,0.84691,0.50000,0.97374,0.88994,0.87395,0.71357,0.41758,0.96923,0.86412
0.13413,0.95609,0.84390,0.49157,0.97374,0.88994,0.87395,0.71357,0.41758,0.96923,0.86247
0.13514,0.95609,0.84204,0.49157,0.97374,0.88994,0.87395,0.71357,0.41758,0.96923,0.86247
0.13614,0.95609,0.84053,0.48087,0.97374,0.88994,0.87395,0.70792,0.41758,0.96923,0.86247
0.13714,0.95609,0.84010,0.47326,0.97359,0.88994,0.87395,0.70588,0.41758,0.96923,0.86247
0.13814,0.95609,0.83702,0.47230,0.97359,0.88994,0.87395,0.70404,0.41758,0.96923,0.86148
0.13914,0.95609,0.83702,0.46891,0.97348,0.88994,0.86822,0.70404,0.41758,0.96923,0.86148
0.14014,0.95609,0.83702,0.46891,0.97348,0.88994,0.86822,0.70404,0.41758,0.96923,0.86148
0.14114,0.95347,0.83622,0.46193,0.97348,0.88994,0.86822,0.70404,0.41758,0.96923,0.86148
0.14214,0.95184,0.83314,0.46059,0.97348,0.88994,0.86822,0.70404,0.41758,0.96923,0.86148
0.14314,0.95116,0.83240,0.46059,0.97348,0.88994,0.86822,0.70404,0.41622,0.96923,0.86148
0.14414,0.95111,0.83240,0.46059,0.97348,0.88923,0.86822,0.70404,0.41622,0.96923,0.86148
0.14515,0.95111,0.83240,0.46059,0.97348,0.88923,0.86822,0.70404,0.41546,0.96923,0.86128
0.14615,0.95033,0.82895,0.45024,0.97348,0.88923,0.86822,0.70404,0.41546,0.96923,0.86124
0.14715,0.94920,0.82895,0.45024,0.97348,0.88788,0.86822,0.70404,0.41546,0.96923,0.86124
0.14815,0.94823,0.82789,0.44731,0.97348,0.88788,0.86822,0.70404,0.41546,0.96923,0.86121
0.14915,0.94823,0.82670,0.44342,0.97348,0.88462,0.86822,0.70404,0.41546,0.96923,0.86068
0.15015,0.94823,0.82636,0.43919,0.97348,0.88462,0.86466,0.70404,0.41546,0.96923,0.85864
0.15115,0.94823,0.82636,0.43919,0.97348,0.88462,0.86466,0.70222,0.41546,0.96923,0.85648
0.15215,0.94722,0.82636,0.43653,0.97317,0.88218,0.86466,0.69528,0.41546,0.96923,0.85469
0.15315,0.94642,0.82636,0.42398,0.97317,0.88218,0.86466,0.69528,0.41546,0.96923,0.85393
0.15415,0.94602,0.82622,0.42283,0.97317,0.88218,0.85612,0.69528,0.41546,0.96923,0.85393
0.15516,0.94593,0.82402,0.42283,0.97317,0.88218,0.85612,0.68776,0.41546,0.96923,0.85393
0.15616,0.94593,0.82383,0.41962,0.97317,0.88102,0.85612,0.68619,0.41546,0.96923,0.85333
0.15716,0.94505,0.82383,0.40278,0.97317,0.88102,0.85612,0.67755,0.41546,0.96923,0.85333
0.15816,0.94474,0.82207,0.39535,0.97317,0.87958,0.85612,0.67755,0.41546,0.96923,0.85242
0.15916,0.94459,0.82207,0.38104,0.97317,0.87958,0.85211,0.67611,0.41546,0.96923,0.85153
0.16016,0.94448,0.82207,0.37276,0.97317,0.87958,0.85211,0.66798,0.41546,0.96923,0.84740
0.16116,0.94448,0.82207,0.37276,0.97317,0.87958,0.85211,0.66798,0.41546,0.96923,0.84582
0.16216,0.94383,0.82051,0.36602,0.97317,0.87958,0.84722,0.66667,0.39545,0.96923,0.84574
0.16316,0.94383,0.81907,0.36426,0.97317,0.87958,0.84247,0.66409,0.39545,0.96923,0.84519
0.16416,0.94358,0.81907,0.36426,0.97317,0.87958,0.84000,0.66409,0.39462,0.96923,0.84519
0.16517,0.94319,0.81521,0.36041,0.97317,0.87958,0.84000,0.66045,0.39462,0.96923,0.84519
0.16617,0.94291,0.81468,0.35314,0.97317,0.87958,0.84000,0.66045,0.38865,0.96923,0.84506
0.16717,0.93936,0.81468,0.34824,0.97317,0.87958,0.84000,0.66045,0.38865,0.96923,0.84506
0.16817,0.93821,0.81468,0.34824,0.97317,0.87958,0.83766,0.66045,0.38462,0.96923,0.84506
0.16917,0.93750,0.81332,0.34824,0.97317,0.87958,0.83766,0.66045,0.38462,0.96923,0.84506
0.17017,0.93665,0.81204,0.33283,0.97317,0.87824,0.83766,0.65468,0.38397,0.96923,0.84258
0.17117,0.93588,0.81204,0.33283,0.97317,0.87824,0.83766,0.65468,0.37652,0.96923,0.84205
0.17217,0.93570,0.81204,0.32743,0.97317,0.87755,0.82278,0.65468,0.37652,0.96923,0.84165
0.17317,0.93537,0.81204,0.32468,0.97317,0.87755,0.82278,0.65468,0.37652,0.96923,0.84165
0.17417,0.93486,0.80961,0.32468,0.97317,0.87755,0.82099,0.65371,0.37652,0.96923,0.84165
0.17518,0.93486,0.80755,0.32425,0.97317,0.87000,0.82099,0.65371,0.36434,0.96923,0.84165
0.17618,0.93465,0.80338,0.32017,0.97317,0.87000,0.82099,0.65371,0.36434,0.96923,0.84165
0.17718,0.93333,0.80000,0.30412,0.97317,0.86849,0.82099,0.64360,0.34657,0.96923,0.84165
0.17818,0.93325,0.79895,0.30343,0.97317,0.86308,0.81928,0.63087,0.34657,0.96923,0.84165
0.17918,0.93275,0.79723,0.29502,0.97317,0.86298,0.81928,0.63087,0.34657,0.96923,0.84165
0.18018,0.93275,0.79587,0.29330,0.97317,0.86298,0.81928,0.62706,0.34657,0.96923,0.84160
0.18118,0.93264,0.79082,0.29287,0.97317,0.86298,0.81928,0.62706,0.34507,0.96923,0.84076
0.18218,0.92927,0.78819,0.29207,0.97317,0.85919,0.81065,0.62617,0.34507,0.96923,0.83944
0.18318,0.92869,0.78530,0.29207,0.97317,0.85909,0.80000,0.62617,0.34507,0.96923,0.83817
0.18418,0.92821,0.78300,0.29207,0.97317,0.85909,0.80000,0.62617,0.34507,0.96923,0.83799
0.18519,0.92699,0.78254,0.29207,0.97317,0.85909,0.80000,0.62617,0.34247,0.96923,0.83487
0.18619,0.92636,0.78204,0.29207,0.97317,0.85909,0.80000,0.62617,0.34247,0.96923,0.83394
0.18719,0.92329,0.78003,0.29207,0.97317,0.85909,0.79661,0.62617,0.34247,0.96923,0.83394
0.18819,0.92168,0.77974,0.29207,0.97317,0.85909,0.79255,0.62617,0.33550,0.96923,0.83394
0.18919,0.92029,0.77974,0.28910,0.97317,0.85909,0.79255,0.62617,0.33550,0.96923,0.83348
0.19019,0.91917,0.77646,0.28756,0.97317,0.85909,0.79255,0.62617,0.33550,0.96923,0.83184
0.19119,0.91729,0.77646,0.28489,0.97317,0.85909,0.79255,0.62617,0.33550,0.96923,0.82951
0.19219,0.91729,0.77621,0.28118,0.97317,0.85078,0.79255,0.62617,0.33550,0.96923,0.82892
0.19319,0.91729,0.77621,0.27333,0.97317,0.85078,0.79255,0.62154,0.33550,0.96923,0.82880
0.19419,0.91729,0.77449,0.26882,0.97317,0.84052,0.79255,0.61890,0.33121,0.96923,0.82810
0.19520,0.91727,0.77018,0.26520,0.97317,0.84052,0.79255,0.61791,0.33121,0.96923,0.82526
0.19620,0.91727,0.76783,0.26520,0.97317,0.84052,0.79255,0.61791,0.33019,0.96923,0.82353
0.19720,0.91727,0.76783,0.26376,0.97317,0.84052,0.79255,0.61791,0.33019,0.96923,0.82353
0.19820,0.91727,0.76768,0.25886,0.97317,0.84009,0.79255,0.61357,0.32923,0.96923,0.82258
