                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.3039,                0.97592,                 1.0638,                0.54133,                 0.4419,                 0.4538,                0.25744,                 1.3536,                0.91603,                 1.0498,               0.001685,               0.001685,               0.001685
                     73,                 1.2967,                0.96874,                 1.0621,                0.54271,                0.44288,                0.45634,                 0.2594,                 1.3456,                0.91081,                 1.0478,              0.0016805,              0.0016805,              0.0016805
                     74,                 1.2982,                0.97008,                  1.061,                0.54343,                0.44791,                 0.4583,                 0.2604,                 1.3423,                 0.9076,                 1.0461,               0.001676,               0.001676,               0.001676
                     75,                 1.2945,                0.96301,                 1.0622,                0.54794,                0.44826,                0.45917,                0.26191,                 1.3407,                0.90938,                 1.0454,              0.0016715,              0.0016715,              0.0016715
                     76,                 1.2885,                0.95783,                  1.059,                0.55423,                0.44306,                0.45989,                0.26261,                 1.3375,                0.90589,                 1.0448,               0.001667,               0.001667,               0.001667
                     77,                 1.2784,                0.95123,                 1.0564,                0.55453,                0.44553,                0.46084,                0.26239,                 1.3525,                0.90667,                 1.0478,              0.0016625,              0.0016625,              0.0016625
                     78,                 1.2922,                0.95728,                 1.0557,                0.55483,                0.44535,                0.46276,                0.26236,                 1.3524,                0.90597,                 1.0478,               0.001658,               0.001658,               0.001658
                     79,                 1.2807,                0.94891,                 1.0556,                0.56038,                0.44411,                0.46342,                0.26385,                 1.3489,                0.90423,                 1.0459,              0.0016535,              0.0016535,              0.0016535
                     80,                 1.2802,                0.94962,                 1.0554,                0.55971,                0.44342,                0.46127,                0.26313,                 1.3439,                0.90418,                 1.0446,               0.001649,               0.001649,               0.001649
                     81,                 1.2741,                0.94217,                 1.0526,                0.55087,                0.44917,                0.46379,                0.26369,                 1.3452,                0.90137,                 1.0442,              0.0016445,              0.0016445,              0.0016445
                     82,                 1.2682,                0.94157,                 1.0508,                0.55418,                0.44941,                0.46358,                0.26545,                 1.3333,                0.89899,                 1.0409,                0.00164,                0.00164,                0.00164
                     83,                  1.283,                 0.9433,                 1.0559,                0.54791,                0.45238,                0.46517,                0.26577,                 1.3399,                0.89823,                  1.042,              0.0016355,              0.0016355,              0.0016355
                     84,                 1.2713,                0.93685,                 1.0543,                0.55105,                0.45255,                0.46593,                0.26485,                 1.3489,                0.89917,                 1.0439,               0.001631,               0.001631,               0.001631
                     85,                 1.2842,                0.94168,                 1.0526,                0.54531,                0.45679,                0.46601,                0.26586,                 1.3423,                0.89707,                 1.0424,              0.0016265,              0.0016265,              0.0016265
                     86,                 1.2719,                0.93749,                 1.0528,                0.55825,                0.45273,                0.46656,                0.26644,                 1.3402,                0.89416,                 1.0417,               0.001622,               0.001622,               0.001622
                     87,                   1.27,                0.92514,                 1.0514,                0.56659,                0.45095,                0.46854,                  0.267,                 1.3448,                0.89374,                 1.0426,              0.0016175,              0.0016175,              0.0016175
                     88,                 1.2607,                0.91949,                 1.0507,                 0.5666,                0.45052,                0.46961,                0.26715,                 1.3508,                0.89375,                 1.0437,               0.001613,               0.001613,               0.001613
                     89,                 1.2699,                0.92375,                 1.0485,                0.56698,                0.45238,                0.47122,                0.26883,                 1.3459,                0.89107,                 1.0418,              0.0016085,              0.0016085,              0.0016085
                     90,                 1.2661,                0.92133,                 1.0476,                 0.5622,                 0.4537,                0.47162,                0.26959,                 1.3416,                 0.8899,                 1.0403,               0.001604,               0.001604,               0.001604
                     91,                 1.2663,                0.92393,                  1.048,                0.55455,                 0.4555,                0.47194,                 0.2701,                 1.3406,                0.88947,                 1.0399,              0.0015995,              0.0015995,              0.0015995
                     92,                  1.267,                0.91585,                  1.049,                0.55631,                0.45231,                  0.471,                0.26998,                 1.3395,                0.88897,                 1.0401,               0.001595,               0.001595,               0.001595
                     93,                 1.2678,                0.91567,                 1.0499,                 0.5613,                0.45114,                0.47242,                0.27123,                 1.3363,                0.88803,                 1.0395,              0.0015905,              0.0015905,              0.0015905
                     94,                 1.2615,                0.91177,                 1.0445,                0.56192,                0.45265,                 0.4727,                0.27189,                 1.3355,                0.88691,                 1.0392,               0.001586,               0.001586,               0.001586
                     95,                 1.2571,                0.90991,                 1.0449,                0.56292,                0.45233,                0.47339,                0.27238,                 1.3338,                0.88639,                 1.0382,              0.0015815,              0.0015815,              0.0015815
                     96,                  1.254,                0.90392,                 1.0424,                0.55969,                0.45655,                0.47409,                0.27241,                 1.3354,                0.88702,                 1.0381,               0.001577,               0.001577,               0.001577
                     97,                 1.2525,                0.90408,                 1.0432,                0.55867,                0.45507,                0.47373,                0.27269,                 1.3328,                0.88527,                 1.0376,              0.0015725,              0.0015725,              0.0015725
